"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","5000275000","Retail sales of ice","445110","Supermarkets and other grocery (except convenience) stores","All establishments","24,883","670,463","35.6","60% to less than 70%","4.0"
"United States","2017","5000275000","Retail sales of ice","445120","Convenience stores","All establishments","18,288","243,686","12.9","80% to less than 90%","6.9"
"United States","2017","5000275000","Retail sales of ice","445210","Meat markets","All establishments","283","1,019","0.1","50% to less than 60%","19.3"
"United States","2017","5000275000","Retail sales of ice","445220","Fish and seafood markets","All establishments","56","103 (s)","0.0","60% to less than 70%","40.5"
"United States","2017","5000275000","Retail sales of ice","445230","Fruit and vegetable markets","All establishments","145","513 (s)","0.0","60% to less than 70%","42.8"
"United States","2017","5000275000","Retail sales of ice","445291","Baked goods stores","All establishments","44","950","0.1","50% to less than 60%","36.7"
"United States","2017","5000275000","Retail sales of ice","445299","All other specialty food stores","All establishments","172","1,370 (s)","0.1","40% to less than 50%","89.6"
"United States","2017","5000275000","Retail sales of ice","445310","Beer, wine, and liquor stores","All establishments","14,468","142,721","7.6","30% to less than 40%","7.5"
"United States","2017","5000275000","Retail sales of ice","446110","Pharmacies and drug stores","All establishments","16,481","51,829","2.8","40% to less than 50%","1.4"
"United States","2017","5000275000","Retail sales of ice","447110","Gasoline stations with convenience stores","All establishments","50,325","541,752","28.8","50% to less than 60%","5.2"
"United States","2017","5000275000","Retail sales of ice","447190","Other gasoline stations","All establishments","1,978","18,659","1.0","40% to less than 50%","13.3"
"United States","2017","5000275000","Retail sales of ice","451110","Sporting goods stores","All establishments","24","395","0.0","50% to less than 60%","24.6"
"United States","2017","5000275000","Retail sales of ice","452311","Warehouse clubs and supercenters","All establishments","D","D","D","D","D"
"United States","2017","5000275000","Retail sales of ice","452319","All other general merchandise stores","All establishments","D","D","D","D","D"
"United States","2017","5000275000","Retail sales of ice","453991","Tobacco stores","All establishments","1,367","8,416","0.4","30% to less than 40%","9.3"
"United States","2017","5000275000","Retail sales of ice","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","S","A","S","S","S"
"United States","2017","5000275000","Retail sales of ice","454110","Electronic shopping and mail-order houses","All establishments","30","200 (s)","0.0","40% to less than 50%","65.7"
"United States","2017","5000275000","Retail sales of ice","454310","Fuel dealers","All establishments","S","A","S","S","S"
"United States","2017","5000275000","Retail sales of ice","454390","Other direct selling establishments","All establishments","191","2,009","0.1","50% to less than 60%","29.2"
"United States","2017","5000300000","Retail sales of alcoholic beverages","441310","Automotive parts and accessories stores","All establishments","S","A","S","S","S"
"United States","2017","5000300000","Retail sales of alcoholic beverages","442299","All other home furnishings stores","All establishments","S","A","S","S","S"
"United States","2017","5000300000","Retail sales of alcoholic beverages","444220","Nursery, garden center, and farm supply stores","All establishments","14","475 (s)","0.0","20% to less than 30%","51.5"
"United States","2017","5000300000","Retail sales of alcoholic beverages","445110","Supermarkets and other grocery (except convenience) stores","All establishments","42,471","26,583,387","23.2","50% to less than 60%","1.1"
"United States","2017","5000300000","Retail sales of alcoholic beverages","445120","Convenience stores","All establishments","21,364","3,510,689","3.1","80% to less than 90%","3.2"
"United States","2017","5000300000","Retail sales of alcoholic beverages","445210","Meat markets","All establishments","422","23,678","0.0","60% to less than 70%","21.3"
"United States","2017","5000300000","Retail sales of alcoholic beverages","445220","Fish and seafood markets","All establishments","153","1,831","0.0","50% to less than 60%","25.7"
"United States","2017","5000300000","Retail sales of alcoholic beverages","445230","Fruit and vegetable markets","All establishments","234","12,020","0.0","40% to less than 50%","27.3"
"United States","2017","5000300000","Retail sales of alcoholic beverages","445291","Baked goods stores","All establishments","142","4,465","0.0","70% to less than 80%","36.1"
"United States","2017","5000300000","Retail sales of alcoholic beverages","445292","Confectionery and nut stores","All establishments","61","1,015 (s)","0.0","40% to less than 50%","71.8"
"United States","2017","5000300000","Retail sales of alcoholic beverages","445299","All other specialty food stores","All establishments","480","26,951","0.0","80% to less than 90%","39.1"
"United States","2017","5000300000","Retail sales of alcoholic beverages","445310","Beer, wine, and liquor stores","All establishments","34,440","45,768,697","40.0","30% to less than 40%","0.5"
"United States","2017","5000300000","Retail sales of alcoholic beverages","446110","Pharmacies and drug stores","All establishments","14,681","2,793,106","2.4","30% to less than 40%","1.6"
"United States","2017","5000300000","Retail sales of alcoholic beverages","446120","Cosmetics, beauty supplies, and perfume stores","All establishments","S","A","S","S","S"
"United States","2017","5000300000","Retail sales of alcoholic beverages","446191","Food (health) supplement stores","All establishments","D","D","D","D","D"
"United States","2017","5000300000","Retail sales of alcoholic beverages","447110","Gasoline stations with convenience stores","All establishments","72,632","13,968,553","12.2","40% to less than 50%","1.4"
"United States","2017","5000300000","Retail sales of alcoholic beverages","447190","Other gasoline stations","All establishments","1,943","218,381","0.2","20% to less than 30%","7.6"
"United States","2017","5000300000","Retail sales of alcoholic beverages","448120","Women's clothing stores","All establishments","S","A","S","S","S"
"United States","2017","5000300000","Retail sales of alcoholic beverages","451110","Sporting goods stores","All establishments","180","10,353","0.0","40% to less than 50%","23.6"
"United States","2017","5000300000","Retail sales of alcoholic beverages","451212","News dealers and newsstands","All establishments","3","576","0.0","10% to less than 20%","0.0"
"United States","2017","5000300000","Retail sales of alcoholic beverages","452311","Warehouse clubs and supercenters","All establishments","6,516","9,186,866","8.0","Less than 10%","0.6"
"United States","2017","5000300000","Retail sales of alcoholic beverages","452319","All other general merchandise stores","All establishments","17,383","924,761","0.8","50% to less than 60%","3.6"
"United States","2017","5000300000","Retail sales of alcoholic beverages","453110","Florists","All establishments","144","1,627","0.0","40% to less than 50%","32.0"
"United States","2017","5000300000","Retail sales of alcoholic beverages","453220","Gift, novelty, and souvenir stores","All establishments","410","44,686","0.0","20% to less than 30%","8.9"
"United States","2017","5000300000","Retail sales of alcoholic beverages","453310","Used merchandise stores","All establishments","S","A","S","S","S"
"United States","2017","5000300000","Retail sales of alcoholic beverages","453991","Tobacco stores","All establishments","2,491","558,493","0.5","30% to less than 40%","4.4"
"United States","2017","5000300000","Retail sales of alcoholic beverages","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","132","6,779 (s)","0.0","40% to less than 50%","43.8"
"United States","2017","5000300000","Retail sales of alcoholic beverages","454110","Electronic shopping and mail-order houses","All establishments","297","9,728,016","8.5","90% to 100%","28.5"
"United States","2017","5000300000","Retail sales of alcoholic beverages","454310","Fuel dealers","All establishments","D","D","D","D","D"
